# Feature: drop-rate
# Experiment_time: 20.0
# rate  Tahoe  Reno  NewReno  Vegas
0.1MB  0.0  0.0  0.0  0.0
0.2MB  0.0  0.0  0.0  0.0
0.3MB  0.0  0.0  0.0  0.0
0.4MB  0.0  0.0  0.0  0.0
0.5MB  0.0  0.0  0.0  0.0
0.6MB  0.0  0.0  0.0  0.0
0.7MB  0.0  0.0  0.0  0.0
0.8MB  0.0  0.0  0.0  0.0
0.9MB  0.0  0.0  0.0  0.0
1.0MB  0.0  0.0  0.0  0.0
1.1MB  0.0  0.0  0.0  0.0
1.2MB  0.0  0.0  0.0  0.0
1.3MB  0.0  0.0  0.0  0.0
1.4MB  0.0  0.0  0.0  0.0
1.5MB  0.0  0.0  0.0  0.0
1.6MB  0.0  0.0  0.0  0.0
1.7MB  0.0  0.0  0.0  0.0
1.8MB  0.0  0.0  0.0  0.0
1.9MB  0.0  0.0  0.0  0.0
2.0MB  0.0  0.0  0.0  0.0
2.1MB  0.0  0.0  0.0  0.0
2.2MB  0.0  0.0  0.0  0.0
2.3MB  0.0  0.0  0.0  0.0
2.4MB  0.0  0.0  0.0  0.0
2.5MB  0.0  0.0  0.0  0.0
2.6MB  0.0  0.0  0.0  0.0
2.7MB  0.0  0.0  0.0  0.0
2.8MB  0.0  0.0  0.0  0.0
2.9MB  0.0  0.0  0.0  0.0
3.0MB  0.0  0.0  0.0  0.0
3.1MB  0.0  0.0  0.0  0.0
3.2MB  0.0  0.0  0.0  0.0
3.3MB  0.0  0.0  0.0  0.0
3.4MB  0.0  0.0  0.0  0.0
3.5MB  0.0  0.0  0.0  0.0
3.6MB  0.0  0.0  0.0  0.0
3.7MB  0.0  0.0  0.0  0.0
3.8MB  0.0  0.0  0.0  0.0
3.9MB  0.0  0.0  0.0  0.0
4.0MB  0.0  0.0  0.0  0.0
4.1MB  0.0  0.0  0.0  0.0
4.2MB  0.0  0.0  0.0  0.0
4.3MB  0.0  0.0  0.0  0.0
4.4MB  0.0  0.0  0.0  0.0
4.5MB  0.0  0.0  0.0  0.0
4.6MB  0.0  0.0  0.0  0.0
4.7MB  0.0  0.0  0.0  0.0
4.8MB  0.0  0.0  0.0  0.0
4.9MB  0.0  0.0  0.0  0.0
5.0MB  0.0  0.0  0.0  0.0
5.1MB  0.0  0.0  0.0  0.0
5.2MB  0.0  0.0  0.0  0.0
5.3MB  0.0  0.0  0.0  0.0
5.4MB  0.0  0.0  0.0  0.0
5.5MB  0.0  0.0  0.0  0.0
5.6MB  0.0  0.0  0.0  0.0
5.7MB  0.0  0.0  0.0  0.0
5.8MB  0.0  0.0  0.0  0.0
5.9MB  0.0  0.0  0.0  0.0
6.0MB  0.0  0.0  0.0  0.0
6.1MB  0.0  0.0  0.0  0.0
6.2MB  0.0  0.0  0.0  0.0
6.3MB  0.0  0.0  0.0  0.0
6.4MB  0.0  0.0  0.0  0.0
6.5MB  0.0  0.0  0.0  0.0
6.6MB  0.0  0.0  0.0  0.0
6.7MB  0.0  0.0  0.0  0.0
6.8MB  0.0  0.0  0.0  0.0
6.9MB  0.0  0.0  0.0  0.0
7.0MB  0.0  0.0  0.0  0.0
7.1MB  0.0  0.0  0.0  0.0
7.2MB  0.0  0.0  0.0  0.0
7.3MB  0.0  0.0  0.0  0.0
7.4MB  0.0  0.0  0.0  0.0
7.5MB  0.0  0.0  0.0  0.0
7.6MB  0.0  0.0  0.0  0.0
7.7MB  0.0  0.0  0.0  0.0
7.8MB  0.0  0.0  0.0  0.0
7.9MB  0.0  0.0  0.0  0.0
8.0MB  0.0  0.0  0.0  0.0
8.1MB  0.0  0.0  0.0  0.0
8.2MB  0.0  0.0  0.0  0.0
8.3MB  0.0  0.0  0.0  0.0
8.4MB  0.0  0.0  0.0  0.0
8.5MB  0.000607902735562  0.000603925515853  0.000603925515853  0.0
8.6MB  0.000814249363868  0.000851788756388  0.000714212835425  0.0
8.7MB  0.00211304807184  0.00174863387978  0.00199642744562  0.0
8.8MB  0.00291010993749  0.00255811366922  0.00261068204068  0.0
8.9MB  0.00408568904594  0.00366552119129  0.0031204725287  0.0
9.0MB  0.00408672948121  0.00444444444444  0.00389997705896  0.000228832951945
9.1MB  0.00432951088228  0.00462798148807  0.00387596899225  0.0
9.2MB  0.0044295462708  0.00471527022125  0.0044578313253  0.0
9.3MB  0.0030663559426  0.00431992100716  0.00344318740777  0.0
9.4MB  0.00350218886804  0.00393051857487  0.00285927399304  0.0
9.5MB  0.00243371333419  0.00297734627832  0.00282123621441  0.00025490695896
9.6MB  0.00342646283606  0.00342917436033  0.00394166338195  0.0
9.7MB  0.00405076964623  0.0030901518205  0.00459645802352  0.0010056026433
9.8MB  0.00659340659341  0.00415949512335  0.00564893910168  0.001457513482
9.9MB  0.00547708273278  0.00612066452929  0.00662633246903  0.00103214391035
10.0MB  0.00504510013759  0.00326644890341  0.00342039800995  0.00476493011436
