# Feature: latency
# Experiment_time: 20.0
# rate  Tahoe  Reno  NewReno  Vegas
0.1MB  0.0626228743464  0.0626228743464  0.0626228743464  0.0625259339186
0.2MB  0.0626349421645  0.0626349421645  0.0626349421645  0.0625279642458
0.3MB  0.0626299209317  0.0626299209317  0.0626299209317  0.0625282528332
0.4MB  0.062639901125  0.062639901125  0.062639901125  0.062528020431
0.5MB  0.0626572885225  0.0626572885225  0.0626572885225  0.0625629220945
0.6MB  0.0626532465536  0.0626532465536  0.0626532465536  0.0625410777334
0.7MB  0.0627465061199  0.0627465061199  0.0627465061199  0.0626972325656
0.8MB  0.0626424820155  0.0626424820155  0.0626424820155  0.0625283652035
0.9MB  0.0626318588179  0.0626318588179  0.0626318588179  0.0625289902618
1.0MB  0.0626768393339  0.0626768393339  0.0626768393339  0.0625657011494
1.1MB  0.0626646170314  0.0626646170314  0.0626646170314  0.0625568568008
1.2MB  0.062671555027  0.062671555027  0.062671555027  0.0625446938548
1.3MB  0.0626637788522  0.0626637788522  0.0626637788522  0.0625667244572
1.4MB  0.0627479415037  0.0627479415037  0.0627479415037  0.0626984984005
1.5MB  0.0626771471848  0.0626771471848  0.0626771471848  0.0626207986909
1.6MB  0.0626428977975  0.0626428977975  0.0626428977975  0.0625284801277
1.7MB  0.0626996183145  0.0626996183145  0.0626996183145  0.0626446831098
1.8MB  0.0626546715259  0.0626546715259  0.0626546715259  0.06254713394
1.9MB  0.0628969168922  0.0628969168922  0.0628969168922  0.0628495778347
2.0MB  0.0626771946075  0.0626771946075  0.0626771946075  0.0626204444445
2.1MB  0.0627538601176  0.0627538601176  0.0627538601176  0.0627030990242
2.2MB  0.0626952629324  0.0626952629324  0.0626952629324  0.0625591789591
2.3MB  0.0626262025036  0.0626262025036  0.0626262025036  0.0625781837484
2.4MB  0.0629860371552  0.0629860371552  0.0629860371552  0.0625447193935
2.5MB  0.0627074488889  0.0627074488889  0.0627074488889  0.0625793716475
2.6MB  0.0626730234734  0.0626730234734  0.0626730234734  0.0625860595466
2.7MB  0.0626845925456  0.0626845925456  0.0626845925456  0.0625718449872
2.8MB  0.0627535367986  0.0627535367986  0.0627535367986  0.0627037384419
2.9MB  0.0627119275961  0.0627119275961  0.0627119275961  0.062561787037
3.0MB  0.0626773367169  0.0626773367169  0.0626773367169  0.0626214525862
3.1MB  0.0627299640928  0.0627299640928  0.0627299640928  0.0625921414432
3.2MB  0.062643192521  0.062643192521  0.062643192521  0.0625285369513
3.3MB  0.0628393323796  0.0628393323796  0.0628393323796  0.0627946002563
3.4MB  0.0627110236545  0.0627110236545  0.0627110236545  0.0626629183706
3.5MB  0.0627651416309  0.0627651416309  0.0627651416309  0.06270991504
3.6MB  0.0627182792249  0.0627182792249  0.0627182792249  0.0625840028736
3.7MB  0.0626804083413  0.0626804083413  0.0626804083413  0.0626318936782
3.8MB  0.0629057638159  0.0629057638159  0.0629057638159  0.0628596253404
3.9MB  0.0626870382358  0.0626870382358  0.0626870382358  0.0625860704023
