# Feature: throughput
# Experiment_time: 20.0
# rate  Tahoe  Reno  NewReno  Vegas
0.1MB  2.600101924  2.600101924  2.600101924  2.45000196
0.2MB  2.60003536048  2.60003536048  2.60003536048  2.45000196
0.3MB  2.60001183005  2.60001183005  2.60001183005  2.45000196
0.4MB  2.60003120037  2.60003120037  2.60003120037  2.45000196
0.5MB  2.60000832003  2.60000832003  2.60000832003  2.4500842829
0.6MB  2.55007548223  2.55007548223  2.55007548223  2.45000196
0.7MB  2.5500638791  2.5500638791  2.5500638791  2.45000612502
0.8MB  2.55003060037  2.55003060037  2.55003060037  2.45000196
0.9MB  2.55010608441  2.55010608441  2.55010608441  2.45001372008
1.0MB  2.55000816003  2.55000816003  2.55000816003  2.45004312076
1.1MB  2.55006566419  2.55006566419  2.55006566419  2.45012507889
1.2MB  2.55002996285  2.55002996285  2.55002996285  2.45000196
1.3MB  2.55006477165  2.55006477165  2.55006477165  2.4500750948
1.4MB  2.55008797804  2.55008797804  2.55008797804  2.45003417798
1.5MB  2.55002792281  2.55002792281  2.55002792281  2.45001825264
1.6MB  2.55001020004  2.55001020004  2.55001020004  2.45000098
1.7MB  2.55006247653  2.55006247653  2.55006247653  2.45000796253
1.8MB  2.55002830531  2.55002830531  2.55002830531  2.4500716646
1.9MB  2.55007586476  2.55007586476  2.55007586476  2.45002842033
2.0MB  2.55000816003  2.55000816003  2.55000816003  2.45002548026
2.1MB  2.55005367863  2.55005367863  2.55005367863  2.45005328866
2.2MB  2.55005584622  2.55005584622  2.55005584622  2.45003613803
2.3MB  2.60008021247  2.60008021247  2.60008021247  2.45001274007
2.4MB  2.5500006375  2.5500006375  2.5500006375  2.45000196
2.5MB  2.55000612001  2.55000612001  2.55000612001  2.45007252215
2.6MB  2.550001785  2.550001785  2.550001785  2.45003675055
2.7MB  2.55002295021  2.55002295021  2.55002295021  2.45005549376
2.8MB  2.55000433501  2.55000433501  2.55000433501  2.45007926006
2.9MB  2.55009052821  2.55009052821  2.55009052821  2.45007607486
3.0MB  2.55002792281  2.55002792281  2.55002792281  2.45001825264
3.1MB  2.5500781599  2.5500781599  2.5500781599  2.45003246293
3.2MB  2.55001173005  2.55001173005  2.55001173005  2.45000049
