# Feature: drop-rate
# Experiment_time: 20.0
# rate  NewReno  Reno
0.1MB  0.0  0.0
0.2MB  0.0  0.0
0.3MB  0.0  0.0
0.4MB  0.0  0.0
0.5MB  0.0  0.0
0.6MB  0.0  0.0
0.7MB  0.0  0.0
0.8MB  0.0  0.0
0.9MB  0.0  0.0
1.0MB  0.0  0.0
1.1MB  0.0  0.0
1.2MB  0.0  0.0
1.3MB  0.0  0.0
1.4MB  0.0  0.0
1.5MB  0.0  0.0
1.6MB  0.0  0.0
1.7MB  0.0  0.0
1.8MB  0.0  0.0
1.9MB  0.0  0.0
2.0MB  0.0  0.0
2.1MB  0.0  0.0
2.2MB  0.0  0.0
2.3MB  0.0  0.0
2.4MB  0.0  0.0
2.5MB  0.0  0.0
2.6MB  0.0  0.0
2.7MB  0.0  0.0
2.8MB  0.0  0.0
2.9MB  0.0  0.0
3.0MB  0.0  0.0
3.1MB  0.0  0.0
3.2MB  0.0  0.0
3.3MB  0.0  0.0
3.4MB  0.0  0.0
3.5MB  0.0  0.0
3.6MB  0.0  0.0
3.7MB  0.0  0.0
3.8MB  0.0  0.0
3.9MB  0.0  0.0
4.0MB  0.0  0.0
4.1MB  0.0  0.0
4.2MB  0.0  0.0
4.3MB  0.0  0.0
4.4MB  0.0  0.0
4.5MB  0.0  0.0
4.6MB  0.0  0.0
4.7MB  0.0  0.0
4.8MB  0.0  0.0
4.9MB  0.0  0.0
5.0MB  0.0  0.0
5.1MB  0.0  0.0
5.2MB  0.0  0.0
5.3MB  0.0  0.0
5.4MB  0.0  0.0
5.5MB  0.0  0.0
5.6MB  0.0  0.0
5.7MB  0.0  0.0
5.8MB  0.0  0.0
5.9MB  0.0  0.0
6.0MB  0.0  0.0
6.1MB  0.0  0.0
6.2MB  0.0  0.0
6.3MB  0.0  0.0
6.4MB  0.0  0.0
6.5MB  0.0  0.0
6.6MB  0.0  0.0
6.7MB  0.0  0.0
6.8MB  0.000476247172282  0.0
6.9MB  0.0  0.0
7.0MB  0.0  0.0
7.1MB  0.0  0.0
7.2MB  0.00131216375804  0.000131216375804
7.3MB  0.0  0.0
7.4MB  0.00105360200184  6.58501251152e-05
7.5MB  0.0  0.00142348754448
7.6MB  7.33675715334e-05  0.00161408657373
7.7MB  0.000375488134575  0.00180234304596
7.8MB  0.000388651379712  0.00178779634668
7.9MB  0.00177820885871  0.00153572583253
8.0MB  0.000914380714879  0.0021612635079
8.1MB  0.00187889657528  0.00187889657528
8.2MB  0.00249287749288  0.00267094017094
8.3MB  0.00321395775941  0.00330578512397
8.4MB  0.00385393583197  0.00356489064457
8.5MB  0.0035849432384  0.00298745269867
8.6MB  0.0046719269103  0.00352990033223
8.7MB  0.00533188248096  0.0038084874864
8.8MB  0.0061377585815  0.00591043418959
8.9MB  0.00729839674563  0.00502512562814
9.0MB  0.00720515737581  0.0069523448363
9.1MB  0.00861611876988  0.00689289501591
9.2MB  0.00914634146341  0.00679046563193
9.3MB  0.00822510822511  0.00634920634921
9.4MB  0.0094325497829  0.0071867045965
9.5MB  0.0092980009298  0.0063536339687
9.6MB  0.00907323395982  0.00826312378483
9.7MB  0.00998814965295  0.0094802776367
9.8MB  0.0124473732381  0.00878638110928
9.9MB  0.0109692501349  0.0116885452257
10.0MB  0.00482573726542  0.00482573726542
