# Feature: drop-rate
# Experiment_time: 20.0
# rate  NewReno  Vegas
0.1MB  0.0  0.0
0.2MB  0.0  0.0
0.3MB  0.0  0.0
0.4MB  0.0  0.0
0.5MB  0.0  0.0
0.6MB  0.0  0.0
0.7MB  0.0  0.0
0.8MB  0.0  0.0
0.9MB  0.0  0.0
1.0MB  0.0  0.0
1.1MB  0.0  0.0
1.2MB  0.0  0.0
1.3MB  0.0  0.0
1.4MB  0.0  0.0
1.5MB  0.0  0.0
1.6MB  0.0  0.0
1.7MB  0.0  0.0
1.8MB  0.0  0.0
1.9MB  0.0  0.0
2.0MB  0.0  0.0
2.1MB  0.0  0.0
2.2MB  0.0  0.0
2.3MB  0.0  0.0
2.4MB  0.0  0.0
2.5MB  0.0  0.0
2.6MB  0.0  0.0
2.7MB  0.0  0.0
2.8MB  0.0  0.0
2.9MB  0.0  0.0
3.0MB  0.0  0.0
3.1MB  0.0  0.0
3.2MB  0.0  0.0
3.3MB  0.0  0.0
3.4MB  0.0  0.0
3.5MB  0.0  0.0
3.6MB  0.0  0.0
3.7MB  0.0  0.0
3.8MB  0.0  0.0
3.9MB  0.0  0.0
4.0MB  0.0  0.0
4.1MB  0.0  0.0
4.2MB  0.0  0.0
4.3MB  0.0  0.0
4.4MB  0.0  0.0
4.5MB  0.0  0.0
4.6MB  0.0  0.0
4.7MB  0.0  0.0
4.8MB  0.0  0.0
4.9MB  0.0  0.0
5.0MB  0.0  0.0
5.1MB  0.0  0.0
5.2MB  0.0  0.0
5.3MB  0.0  0.0
5.4MB  0.0  0.0
5.5MB  0.0  0.0
5.6MB  0.0  0.0
5.7MB  0.0  0.0
5.8MB  0.0  0.0
5.9MB  0.0  0.0
6.0MB  0.0  0.0
6.1MB  0.0  0.0
6.2MB  0.0  0.0
6.3MB  0.0  0.0
6.4MB  0.0  0.0
6.5MB  0.0  0.0
6.6MB  0.0  0.0
6.7MB  0.0  0.0
6.8MB  0.0  0.0
6.9MB  0.0  0.0
7.0MB  6.26644942975e-05  0.0
7.1MB  0.000128716694555  0.0
7.2MB  0.0  0.000132310134956
7.3MB  0.00013600816049  0.00013600816049
7.4MB  0.00013973310976  6.98665548802e-05
7.5MB  0.000215889464594  7.19631548647e-05
7.6MB  0.000222419928826  0.00014827995255
7.7MB  0.000527148128624  0.000150613751035
7.8MB  0.000710788185121  0.000315905860054
7.9MB  0.00129638632312  0.000324096580781
8.0MB  0.00352556031226  0.00025182573659
8.1MB  0.00331877729258  0.000698689956332
8.2MB  0.00334327279299  0.000722869793079
8.3MB  0.00381999440976  0.000559023572161
8.4MB  0.00402434236356  0.000981546917943
8.5MB  0.00470829068577  0.00102354145343
8.6MB  0.00369393139842  0.00137203166227
8.7MB  0.00511167907545  0.00111123458162
8.8MB  0.00604651162791  0.00116279069767
8.9MB  0.00556429176243  0.00205636869481
9.0MB  0.00720906282183  0.00154479917611
9.1MB  0.00542615140286  0.00224986765484
9.2MB  0.0060522696011  0.00357634112792
9.3MB  0.00653215270721  0.00159674843954
9.4MB  0.00785098522167  0.00615763546798
9.5MB  0.00786794199321  0.00370256093798
9.6MB  0.00918992511913  0.00459496255956
9.7MB  0.0117519435907  0.0050623757006
9.8MB  0.0127142067441  0.0114243596831
9.9MB  0.0159029085583  0.00941619585687
10.0MB  0.00983946141895  0.00673226307613
