# Feature: drop-rate
# Experiment_time: 20.0
# rate  Reno1  Reno2
0.1MB  0.0  0.0
0.2MB  0.0  0.0
0.3MB  0.0  0.0
0.4MB  0.0  0.0
0.5MB  0.0  0.0
0.6MB  0.0  0.0
0.7MB  0.0  0.0
0.8MB  0.0  0.0
0.9MB  0.0  0.0
1.0MB  0.0  0.0
1.1MB  0.0  0.0
1.2MB  0.0  0.0
1.3MB  0.0  0.0
1.4MB  0.0  0.0
1.5MB  0.0  0.0
1.6MB  0.0  0.0
1.7MB  0.0  0.0
1.8MB  0.0  0.0
1.9MB  0.0  0.0
2.0MB  0.0  0.0
2.1MB  0.0  0.0
2.2MB  0.0  0.0
2.3MB  0.0  0.0
2.4MB  0.0  0.0
2.5MB  0.0  0.0
2.6MB  0.0  0.0
2.7MB  0.0  0.0
2.8MB  0.0  0.0
2.9MB  0.0  0.0
3.0MB  0.0  0.0
3.1MB  0.0  0.0
3.2MB  0.0  0.0
3.3MB  0.0  0.0
3.4MB  0.0  0.0
3.5MB  0.0  0.0
3.6MB  0.0  0.0
3.7MB  0.0  0.0
3.8MB  0.0  0.0
3.9MB  0.0  0.0
4.0MB  0.0  0.0
4.1MB  0.0  0.0
4.2MB  0.0  0.0
4.3MB  0.0  0.0
4.4MB  0.0  0.0
4.5MB  0.0  0.0
4.6MB  0.0  0.0
4.7MB  0.0  0.0
4.8MB  0.0  0.0
4.9MB  0.0  0.0
5.0MB  0.0  0.0
5.1MB  0.0  0.0
5.2MB  0.0  0.0
5.3MB  0.0  0.0
5.4MB  0.0  0.0
5.5MB  0.0  0.0
5.6MB  0.0  0.0
5.7MB  0.0  0.0
5.8MB  0.0  0.0
5.9MB  0.0  0.0
6.0MB  0.0  0.0
6.1MB  0.0  0.0
6.2MB  0.0  0.0
6.3MB  0.0  0.0
6.4MB  0.0  0.0
6.5MB  0.0  0.0
6.6MB  0.0  0.0
6.7MB  0.0  0.0
6.8MB  0.000476247172282  0.0
6.9MB  0.0  0.0
7.0MB  0.0  0.0
7.1MB  0.0  0.0
7.2MB  0.001249588951  6.57678395265e-05
7.3MB  0.0  0.0
7.4MB  0.00138226553321  0.0
7.5MB  0.0  0.00142348754448
7.6MB  7.33675715334e-05  0.00161408657373
7.7MB  0.000527465903097  0.00158239770929
7.8MB  0.00116949945423  0.00101356619367
7.9MB  0.0018456106564  0.000561707591077
8.0MB  0.00241244488811  0.0006655020381
8.1MB  0.0024535576586  0.00105152471083
8.2MB  0.00229969644007  0.00220770858247
8.3MB  0.0021010409703  0.00286505586859
8.4MB  0.00349475786321  0.00329505741388
8.5MB  0.00280461202867  0.00373948270489
8.6MB  0.00386805630171  0.00343827226819
8.7MB  0.00463014000661  0.00463014000661
8.8MB  0.00732684602175  0.00480824270177
8.9MB  0.00644468313641  0.00656402912042
9.0MB  0.00741299158186  0.00678477195628
9.1MB  0.00753270781023  0.00819347165323
9.2MB  0.00898497823951  0.00898497823951
9.3MB  0.00844444444444  0.00859259259259
9.4MB  0.00833464381192  0.00802012895109
9.5MB  0.00746150182569  0.0071439911097
9.6MB  0.00784180020457  0.00750085236959
9.7MB  0.00866551126516  0.0102253032929
9.8MB  0.0116596830024  0.00819821461104
9.9MB  0.00953652489033  0.0104901773794
10.0MB  0.00482573726542  0.00482573726542
