# Feature: drop-rate
# Experiment_time: 20.0
# rate  Vegas1  Vegas2
0.1MB  0.0  0.0
0.2MB  0.0  0.0
0.3MB  0.0  0.0
0.4MB  0.0  0.0
0.5MB  0.0  0.0
0.6MB  0.0  0.0
0.7MB  0.0  0.0
0.8MB  0.0  0.0
0.9MB  0.0  0.0
1.0MB  0.0  0.0
1.1MB  0.0  0.0
1.2MB  0.0  0.0
1.3MB  0.0  0.0
1.4MB  0.0  0.0
1.5MB  0.0  0.0
1.6MB  0.0  0.0
1.7MB  0.0  0.0
1.8MB  0.0  0.0
1.9MB  0.0  0.0
2.0MB  0.0  0.0
2.1MB  0.0  0.0
2.2MB  0.0  0.0
2.3MB  0.0  0.0
2.4MB  0.0  0.0
2.5MB  0.0  0.0
2.6MB  0.0  0.0
2.7MB  0.0  0.0
2.8MB  0.0  0.0
2.9MB  0.0  0.0
3.0MB  0.0  0.0
3.1MB  0.0  0.0
3.2MB  0.0  0.0
3.3MB  0.0  0.0
3.4MB  0.0  0.0
3.5MB  0.0  0.0
3.6MB  0.0  0.0
3.7MB  0.0  0.0
3.8MB  0.0  0.0
3.9MB  0.0  0.0
4.0MB  0.0  0.0
4.1MB  0.0  0.0
4.2MB  0.0  0.0
4.3MB  0.0  0.0
4.4MB  0.0  0.0
4.5MB  0.0  0.0
4.6MB  0.0  0.0
4.7MB  0.0  0.0
4.8MB  0.0  0.0
4.9MB  0.0  0.0
5.0MB  0.0  0.0
5.1MB  0.0  0.0
5.2MB  0.0  0.0
5.3MB  0.0  0.0
5.4MB  0.0  0.0
5.5MB  0.0  0.0
5.6MB  0.0  0.0
5.7MB  0.0  0.0
5.8MB  0.0  0.0
5.9MB  0.0  0.0
6.0MB  0.0  0.0
6.1MB  0.0  0.0
6.2MB  0.0  0.0
6.3MB  0.0  0.0
6.4MB  0.0  0.0
6.5MB  0.0  0.0
6.6MB  0.0  0.0
6.7MB  0.0  0.0
6.8MB  0.0  0.0
6.9MB  0.0  0.0
7.0MB  0.0  0.0
7.1MB  0.0  0.0
7.2MB  0.0  0.0
7.3MB  0.0  0.0
7.4MB  0.0  6.90369347601e-05
7.5MB  7.12758374911e-05  0.0
7.6MB  0.0  0.0
7.7MB  0.0  7.55800770917e-05
7.8MB  0.0  0.0
7.9MB  0.0  0.0
8.0MB  0.0  0.0
8.1MB  0.000173055291166  8.65276455828e-05
8.2MB  0.0  0.0
8.3MB  0.000372474159605  0.0
8.4MB  0.0  0.000388123423249
8.5MB  0.000301235063761  0.0
8.6MB  0.0  0.000420388859695
8.7MB  0.0  0.000552669393169
8.8MB  0.0  0.000105185652677
8.9MB  0.000121212121212  0.000484848484848
9.0MB  0.000124548511645  0.000373645534936
9.1MB  0.0  0.000534045393858
9.2MB  0.000811578520222  0.000135263086704
9.3MB  0.00150962385206  0.0
9.4MB  0.00066746762782  0.000400480576692
9.5MB  0.000697739324588  0.000837287189506
9.6MB  0.0086399523313  0.00178757634441
9.7MB  0.000913242009132  0.00076103500761
9.8MB  0.00214634146341  0.00507317073171
9.9MB  0.0100850306506  0.00217520268934
10.0MB  0.00904465799887  0.00904465799887
