# Feature: latency
# Experiment_time: 20.0
# rate  NewReno  Vegas
0.1MB  0.0626637005076  0.0626356832695
0.2MB  0.0626750131683  0.0626443264654
0.3MB  0.0626712290973  0.0626427459278
0.4MB  0.0626824449381  0.0626515213293
0.5MB  0.0627935649134  0.0627572684177
0.6MB  0.0627178964751  0.0626896484325
0.7MB  0.0628716505411  0.062846057033
0.8MB  0.0626964202508  0.0626658884449
0.9MB  0.0626762072029  0.0626493516448
1.0MB  0.062795105673  0.0627591338885
1.1MB  0.0627225875536  0.0626855717256
1.2MB  0.0627418654701  0.0627082511598
1.3MB  0.0627211879962  0.0626907204095
1.4MB  0.0628741128442  0.0628476557193
1.5MB  0.0627956057524  0.0627602085202
1.6MB  0.0627013092063  0.0626699872123
1.7MB  0.0627918947703  0.0627629638053
1.8MB  0.0627186370276  0.0626904587332
1.9MB  0.063137706202  0.0631129653728
2.0MB  0.0627979300699  0.0627629007047
2.1MB  0.0628866336571  0.0628584404552
2.2MB  0.0627803484343  0.0627502650545
2.3MB  0.062670710138  0.0626422101565
2.4MB  0.0632906439673  0.0632660300097
2.5MB  0.0628270992366  0.0627930352338
2.6MB  0.0627778840165  0.0627414727826
2.7MB  0.0627675838894  0.0627383254324
2.8MB  0.0628872510747  0.062859177272
2.9MB  0.0628227558029  0.0627906191544
3.0MB  0.0627999407184  0.0627652974055
3.1MB  0.0628456797646  0.0628154160794
3.2MB  0.0627026190476  0.0626710959079
3.3MB  0.0630413640715  0.0630129935733
3.4MB  0.0628245900127  0.0627900217809
3.5MB  0.0629074117834  0.0628756420209
3.6MB  0.0628329903005  0.0628018050929
3.7MB  0.0627678422307  0.0627366311239
3.8MB  0.0631585502798  0.063129195232
3.9MB  0.0629442232314  0.0629105344247
4.0MB  0.0628631800095  0.0628291543022
4.1MB  0.0627598481576  0.0627262863316
4.2MB  0.0629056815287  0.0628738057739
4.3MB  0.0632462506005  0.0632161689233
4.4MB  0.0629779824673  0.0629445901718
4.5MB  0.0628807022767  0.0628466156435
4.6MB  0.0627014065079  0.0626663682864
4.7MB  0.0630189108311  0.0629856188946
4.8MB  0.0633220564193  0.0632906489585
4.9MB  0.0638938078292  0.0638656771461
5.0MB  0.0649796084882  0.0649598462303
5.1MB  0.0660993473896  0.0660872520654
5.2MB  0.0672583588696  0.0672552105715
5.3MB  0.0684584682031  0.0684638595388
5.4MB  0.0697057909604  0.0697230782361
5.5MB  0.0709969651205  0.0710246406958
5.6MB  0.0723368205128  0.0723754075716
5.7MB  0.0679274002751  0.067807138538
5.8MB  0.0692073549518  0.0690290477398
5.9MB  0.0705916333095  0.0703609255985
6.0MB  0.0720561357417  0.0717771963932
6.1MB  0.0719564431487  0.0715867726433
6.2MB  0.073525450484  0.0730790825861
6.3MB  0.073496703869  0.072939933383
6.4MB  0.0734730444486  0.0728046908136
6.5MB  0.0752085469434  0.0744005017422
6.6MB  0.0752442889821  0.0742910476731
6.7MB  0.0771189377075  0.0759679628447
6.8MB  0.0772336331639  0.075882712743
6.9MB  0.079260108412  0.0776463570978
7.0MB  0.0826266157131  0.080791856177
7.1MB  0.082902683871  0.0806116089639
7.2MB  0.0834844134432  0.0806133362038
7.3MB  0.0853639378594  0.0819828524531
7.4MB  0.0879028766811  0.0839508609369
7.5MB  0.0883555286566  0.0836317277404
7.6MB  0.091125646613  0.085481012987
7.7MB  0.0912322449789  0.0847681191895
7.8MB  0.0915492649913  0.0833648878883
7.9MB  0.0834496879473  0.0805869470171
8.0MB  0.0828544501896  0.0789816201035
8.1MB  0.081948373237  0.0793042945705
8.2MB  0.0827814462838  0.0801952458502
8.3MB  0.0835380554463  0.0806415740592
8.4MB  0.0823892633615  0.0809805781991
8.5MB  0.0819206543301  0.0783187954422
8.6MB  0.0837761272178  0.0866392473928
8.7MB  0.0832596190476  0.080221466901
8.8MB  0.0827288837692  0.0815855370492
8.9MB  0.0848448186356  0.0860164527178
9.0MB  0.0831481188811  0.0762479556611
9.1MB  0.0853941838649  0.0822176950743
9.2MB  0.086883707411  0.0825495415617
9.3MB  0.0877359135358  0.0802641230769
9.4MB  0.0874862779661  0.095324309434
9.5MB  0.0881893555186  0.0870002248413
9.6MB  0.0879353396825  0.104183977165
9.7MB  0.0890320630158  0.0857490075567
9.8MB  0.0924558918083  0.103158129371
9.9MB  0.0960686561723  0.124171979123
10.0MB  0.0771408032454  0.0771913007946
