# Feature: latency
# Experiment_time: 20.0
# rate  Reno1  Reno2
0.1MB  0.0626543662597  0.0626552693832
0.2MB  0.0626764245597  0.0626784182799
0.3MB  0.0626640287028  0.0626652320381
0.4MB  0.0626849528646  0.0626873804158
0.5MB  0.0628586683641  0.062861214513
0.6MB  0.0627084103826  0.0627093434424
0.7MB  0.0628611469699  0.0628616624244
0.8MB  0.0626893610538  0.0626908338359
0.9MB  0.0626663866159  0.062667118636
1.0MB  0.0628607256524  0.0628634500318
1.1MB  0.0627465392313  0.0627488748213
1.2MB  0.0627484421855  0.0627512527403
1.3MB  0.062726350802  0.0627286433222
1.4MB  0.0628630612472  0.0628633208718
1.5MB  0.0628613131763  0.0628638812858
1.6MB  0.0626913962863  0.0626917365498
1.7MB  0.0627854344301  0.0627868168813
1.8MB  0.0627098174023  0.0627109895205
1.9MB  0.063126959399  0.0631275990408
2.0MB  0.0628618103119  0.0628642342457
2.1MB  0.0628765600828  0.0628780958141
2.2MB  0.0627784083611  0.0627808453346
2.3MB  0.0626597426261  0.0626608287074
2.4MB  0.0632788632068  0.0632804222329
2.5MB  0.0628726455515  0.0628744332325
2.6MB  0.0628063855326  0.0628091280013
2.7MB  0.0627575496583  0.0627588757152
2.8MB  0.0628755847525  0.0628768631227
2.9MB  0.0628079251311  0.0628092488076
3.0MB  0.0628635996181  0.0628660864099
3.1MB  0.062839147129  0.0628412171147
3.2MB  0.0626916959213  0.0626920355499
3.3MB  0.0630288511724  0.0630305152337
3.4MB  0.0628077850556  0.0628104115122
3.5MB  0.0629003423567  0.062902872293
3.6MB  0.0628208414692  0.0628227427254
3.7MB  0.0627550837305  0.0627569610679
3.8MB  0.0631452438049  0.063147165654
3.9MB  0.0630481217877  0.0630508122605
4.0MB  0.0628711991087  0.0628736336145
4.1MB  0.0627460846704  0.0627486969023
4.2MB  0.0628922950167  0.0628939993632
4.3MB  0.063232293694  0.0632347648471
4.4MB  0.0630125072579  0.0630152056149
4.5MB  0.0628722546554  0.0628748389048
4.6MB  0.0626871543954  0.062689457229
4.7MB  0.0630042263158  0.0630067988515
4.8MB  0.0638761138422  0.063878835705
4.9MB  0.0649414219007  0.0649443209471
5.0MB  0.0660390382879  0.0660421200468
5.1MB  0.0671731272109  0.0671762619048
5.2MB  0.0683466149853  0.0683501973001
5.3MB  0.0695650287123  0.0695684164171
5.4MB  0.0708256183644  0.0708293543759
5.5MB  0.0721329621918  0.0721364121301
5.6MB  0.0734888515073  0.0734927675414
5.7MB  0.0748905533852  0.0748948103187
5.8MB  0.0763507053364  0.0763551730806
5.9MB  0.0778692068625  0.0778720118343
6.0MB  0.0794436957746  0.0794481626082
6.1MB  0.081084635038  0.0810900636681
6.2MB  0.0827994563758  0.0828056711409
6.3MB  0.0845808287979  0.0845871780587
6.4MB  0.0864401944384  0.0864457117827
6.5MB  0.0883747532467  0.0883821047918
6.6MB  0.0904059340357  0.0904118808706
6.7MB  0.0925235094959  0.0925317702227
6.8MB  0.0876116227625  0.0883139275816
6.9MB  0.0933219219674  0.0933285619678
7.0MB  0.0932167094946  0.0932225608316
7.1MB  0.0931769747344  0.0931856717828
7.2MB  0.0830906341829  0.082770265685
7.3MB  0.0933663483199  0.0933744959773
7.4MB  0.0834054672858  0.085839373913
7.5MB  0.0894173695652  0.0848824726647
7.6MB  0.0858581338075  0.081753703631
7.7MB  0.0873949713844  0.0835906547421
7.8MB  0.0847926561989  0.0855706331244
7.9MB  0.0828504722356  0.0876229112672
8.0MB  0.0801997229247  0.0867300338983
8.1MB  0.0793695744797  0.0866398932011
8.2MB  0.0779213024431  0.0793382418787
8.3MB  0.0771435237905  0.0792642669903
8.4MB  0.0789636816106  0.078977659534
8.5MB  0.0772428714286  0.0790117283127
8.6MB  0.0785525497195  0.0782433619521
8.7MB  0.0800590241023  0.0807464172876
8.8MB  0.0848025685968  0.080343058
8.9MB  0.0833868504722  0.0833359114411
9.0MB  0.0861856961516  0.0836725318331
9.1MB  0.0866507306539  0.087373546416
9.2MB  0.0878271871526  0.0888107565162
9.3MB  0.0886404903398  0.0888221928666
9.4MB  0.0882404341085  0.0883196327684
9.5MB  0.0860961469965  0.0857844235294
9.6MB  0.0868508724614  0.0863070948905
9.7MB  0.0885232030189  0.0934331800643
9.8MB  0.0926530817391  0.0885118057055
9.9MB  0.0874624536272  0.0923122037187
10.0MB  0.0634749202186  0.0634607964989
