# Feature: latency
# Experiment_time: 20.0
# rate  Vegas1  Vegas2
0.1MB  0.0625522234637  0.0625544010217
0.2MB  0.062556445012  0.0625593205619
0.3MB  0.0625570127694  0.0625590590677
0.4MB  0.0625564909816  0.0625593767561
0.5MB  0.0626697595908  0.0626735526779
0.6MB  0.0625798817239  0.0625832490422
0.7MB  0.0628469943919  0.0628483379266
0.8MB  0.0625569328013  0.0625602324393
0.9MB  0.0625590365581  0.062560567848
1.0MB  0.0626721713829  0.0626767756994
1.1MB  0.0626129653465  0.0626168728638
1.2MB  0.0626087785053  0.0626132941552
1.3MB  0.0626257006868  0.0626292514377
1.4MB  0.062849825028  0.0628513614361
1.5MB  0.0627218296  0.06272660656
1.6MB  0.062557156265  0.0625606028097
1.7MB  0.0627570488469  0.0627590876041
1.8MB  0.0625907474457  0.0625934139528
1.9MB  0.0631116734299  0.0631136396135
2.0MB  0.0627201484563  0.06272449024
2.1MB  0.0628580105786  0.0628601522924
2.2MB  0.0626150538167  0.0626192213704
2.3MB  0.0626445962306  0.0626466526602
2.4MB  0.0626210747484  0.0626257474441
2.5MB  0.0626722839329  0.0626769035971
2.6MB  0.0627270510318  0.06273141952
2.7MB  0.0626341924613  0.0626371071714
2.8MB  0.0628598607149  0.0628623166587
2.9MB  0.06271809984  0.06272229984
3.0MB  0.0627224304  0.06272715264
3.1MB  0.0627043020317  0.0627080102384
3.2MB  0.0625572679968  0.0625607254151
3.3MB  0.0630139460154  0.0630174164524
3.4MB  0.0627939940734  0.0627987046292
3.5MB  0.0628724684092  0.0628763523657
3.6MB  0.0626575642378  0.0626617549552
3.7MB  0.0627378401088  0.0627412654074
3.8MB  0.0631318817845  0.0631352280928
3.9MB  0.0628390581824  0.0628435819173
4.0MB  0.0627246464  0.06272902656
4.1MB  0.0625975514049  0.0626013018838
4.2MB  0.0628757291099  0.0628791934242
4.3MB  0.0632202050951  0.0632238587552
4.4MB  0.0628802550529  0.0628846963426
4.5MB  0.06272581344  0.0627305362458
4.6MB  0.0626708395141  0.062675070024
4.7MB  0.0629898785347  0.0629941201799
4.8MB  0.0630098921569  0.0630144995178
4.9MB  0.0629404737518  0.0629450502569
5.0MB  0.0638693832872  0.0638741639237
5.1MB  0.0649851034483  0.0649901432361
5.2MB  0.0661383742197  0.0661437732411
5.3MB  0.0673328244589  0.0673383446143
5.4MB  0.0685728103569  0.0685788285514
5.5MB  0.0698562152914  0.0698618224599
5.6MB  0.0711880101707  0.0711938208901
5.7MB  0.0725673179041  0.0725739414815
5.8MB  0.0707716132931  0.0707800499055
5.9MB  0.0706148252171  0.0705590673494
6.0MB  0.0688522728919  0.0689071513285
6.1MB  0.0655586296743  0.0655666714918
6.2MB  0.0701167817697  0.0701278940452
6.3MB  0.0650601352373  0.0650692070559
6.4MB  0.0665359639253  0.0665455838523
6.5MB  0.0679626848232  0.0679755007691
6.6MB  0.0660837219348  0.0660952404949
6.7MB  0.0676981898618  0.0677102890067
6.8MB  0.0691808604486  0.0691935168831
6.9MB  0.0673140222868  0.0673278129392
7.0MB  0.0726622215599  0.0726816655901
7.1MB  0.0668648134728  0.0668810627871
7.2MB  0.0686433693033  0.0686603049515
7.3MB  0.070530474704  0.0705488139973
7.4MB  0.0702395024129  0.0700671485205
7.5MB  0.0695186361952  0.070026869054
7.6MB  0.0722179671747  0.0722392093842
7.7MB  0.0719727172897  0.0715845956907
7.8MB  0.0718848299065  0.071909446384
7.9MB  0.0741576740598  0.0741851202572
8.0MB  0.0740490478331  0.0738415950328
8.1MB  0.0757499179077  0.0760471677311
8.2MB  0.0763882613636  0.0763455771836
8.3MB  0.0723060041322  0.076197336091
8.4MB  0.0735430267516  0.0709175378323
8.5MB  0.0705754730942  0.0730110721322
8.6MB  0.0795126720622  0.0746742246914
8.7MB  0.0760655245033  0.0721763264746
8.8MB  0.0874652979158  0.0866334866638
8.9MB  0.0833894258303  0.0759796622222
9.0MB  0.080981304878  0.0736713974646
9.1MB  0.0852623512545  0.0745548898234
9.2MB  0.0775063855619  0.0872777069748
9.3MB  0.0822543021189  0.0876545188216
9.4MB  0.0782524973465  0.0873494852753
9.5MB  0.0802195387674  0.0846577662602
9.6MB  0.0902142251656  0.0848779218585
9.7MB  0.0816564735758  0.08454989251
9.8MB  0.0819632297398  0.0816706546112
9.9MB  0.0920144832105  0.0841895641688
10.0MB  0.0633238020713  0.0633174930876
