# Feature: throughput
# Experiment_time: 20.0
# rate  NewReno  Reno
0.1MB  2.6000228802  2.5500224402
0.2MB  2.55000612001  2.55000612001
0.3MB  2.55002856032  2.55002856032
0.4MB  2.55006528167  2.55006528167
0.5MB  2.55003264042  2.55003264042
0.6MB  2.5500026775  2.5500026775
0.7MB  2.55000548251  2.55000548251
0.8MB  2.55006528167  2.55006528167
0.9MB  2.55002652028  2.55002652028
1.0MB  2.55001836013  2.55001836013
1.1MB  2.5500021675  2.5500021675
1.2MB  2.55000675752  2.55000675752
1.3MB  2.55007344212  2.55007344212
1.4MB  2.55001428008  2.55001428008
1.5MB  2.55001836013  2.55001836013
1.6MB  2.55000918003  2.55000918003
1.7MB  2.55000892503  2.55000892503
1.8MB  2.55002295021  2.55002295021
1.9MB  2.55004449828  2.55004449828
2.0MB  2.55002040016  2.55002040016
2.1MB  2.55001338757  2.55001338757
2.2MB  2.55006566419  2.55006566419
2.3MB  2.55001848763  2.55001848763
2.4MB  2.55000471751  2.55000471751
2.5MB  2.55000204  2.55000204
2.6MB  2.550003315  2.550003315
2.7MB  2.5500026775  2.5500026775
2.8MB  2.55000701252  2.55000701252
2.9MB  2.55002945284  2.55002945284
3.0MB  2.55002040016  2.55002040016
3.1MB  2.5500160651  2.5500160651
3.2MB  2.55004029064  2.55004029064
3.3MB  2.55002945284  2.55002945284
3.4MB  2.55001695761  2.55001695761
3.5MB  2.55000790502  2.55000790502
3.6MB  2.55000255  2.55000255
3.7MB  2.55000599251  2.55000599251
3.8MB  2.55000777752  2.55000777752
3.9MB  2.55009473602  2.55009473602
4.0MB  2.55007752236  2.55007752236
4.1MB  2.5500029325  2.5500029325
4.2MB  2.55002027266  2.55002027266
4.3MB  2.55004207569  2.55004207569
4.4MB  2.55001759512  2.55001759512
4.5MB  2.5500014025  2.5500014025
4.6MB  2.55001096505  2.55001096505
4.7MB  2.55001453508  2.55001453508
4.8MB  2.55005916137  2.55005916137
4.9MB  2.50001200006  2.50001200006
5.0MB  2.45002940035  2.45002940035
5.1MB  2.40001284007  2.40001284007
5.2MB  2.35001457009  2.35001457009
5.3MB  2.30006129663  2.30006129663
5.4MB  2.30000184  2.30000184
5.5MB  2.25002340024  2.25002340024
5.6MB  2.20005808153  2.20005808153
5.7MB  2.15000086  2.15000086
5.8MB  2.10000357001  2.10000357001
5.9MB  2.05003167299  2.05003167299
6.0MB  2.00005440148  2.00005440148
6.1MB  2.00000320001  2.00000320001
6.2MB  1.95000936004  1.95000936004
6.3MB  1.90008417373  1.90008417373
6.4MB  1.85000851004  1.85000851004
6.5MB  1.80005580173  1.80005580173
6.6MB  1.80005103145  1.80005103145
6.7MB  1.75006860269  1.75006860269
6.8MB  1.6000179202  1.80002016023
6.9MB  1.70001751018  1.70001751018
7.0MB  1.70001538514  1.70001538514
7.1MB  1.70004539121  1.70004539121
7.2MB  1.30001781024  1.80002466034
7.3MB  1.70001980523  1.70001980523
7.4MB  1.35000216  1.7500028
7.5MB  1.80003312061  1.05001932036
7.6MB  1.85003626071  0.900017640346
7.7MB  1.70001487513  0.950008312573
7.8MB  1.70003153558  0.90001669531
7.9MB  1.30001495017  1.15001322515
8.0MB  1.65001386012  0.800006720056
8.1MB  1.35001464766  1.00001085012
8.2MB  1.40003374081  0.850020485494
8.3MB  1.35000135  0.850000850001
8.4MB  1.30003087573  0.750017812923
8.5MB  1.20000132  0.800000880001
8.6MB  1.15006538122  0.750042639924
8.7MB  1.0500672043  0.750048003072
8.8MB  1.00001505023  0.75001128767
8.9MB  0.900015480266  0.750012900222
9.0MB  0.900185258126  0.650133797536
9.1MB  0.800090730289  0.65007371836
9.2MB  0.75001687538  0.650014625329
9.3MB  0.75002340073  0.600018720584
9.4MB  0.700082959831  0.600071108426
9.5MB  0.700111737833  0.550087794012
9.6MB  0.650125734317  0.550106390576
9.7MB  0.600011430218  0.5500104777
9.8MB  0.500010275211  0.550011302732
9.9MB  0.550163040817  0.500148218925
10.0MB  0.443008366023  0.443008366023
