# Feature: throughput
# Experiment_time: 20.0
# rate  NewReno  Vegas
0.1MB  2.55002448024  2.45002352023
0.2MB  2.55000204  2.45000196
0.3MB  2.55003876059  2.45003724057
0.4MB  2.55002856032  2.45002744031
0.5MB  2.55001836013  2.45001764013
0.6MB  2.55002856032  2.45002744031
0.7MB  2.550002295  2.450002205
0.8MB  2.55001428008  2.45001372008
0.9MB  2.55000675752  2.45000649252
1.0MB  2.55004896094  2.4500470409
1.1MB  2.55011870803  2.45011405281
1.2MB  2.55000816003  2.45000784003
1.3MB  2.550000255  2.450000245
1.4MB  2.55007433467  2.45007141958
1.5MB  2.55002996285  2.45002878784
1.6MB  2.55005202106  2.45004998102
1.7MB  2.55000918003  2.45000882003
1.8MB  2.55000867003  2.45000833003
1.9MB  2.55003021786  2.45002903284
2.0MB  2.55001020004  2.45000980004
2.1MB  2.55005380614  2.45005169609
2.2MB  2.55005673876  2.45005451371
2.3MB  2.55000586501  2.45000563501
2.4MB  2.55000879753  2.45000845253
2.5MB  2.55  2.45
2.6MB  2.55000561001  2.45000539001
2.7MB  2.55000637502  2.45000612502
2.8MB  2.55004985347  2.45004789844
2.9MB  2.55002945284  2.45002829783
3.0MB  2.55002715779  2.45002609278
3.1MB  2.55004373325  2.45004201822
3.2MB  2.55004029064  2.45003871061
3.3MB  2.550001785  2.450001715
3.4MB  2.55001810513  2.45001739512
3.5MB  2.55001925265  2.45001849764
3.6MB  2.550002295  2.450002205
3.7MB  2.55001007254  2.45000967754
3.8MB  2.55000573751  2.45000551251
3.9MB  2.55003085537  2.45002964536
4.0MB  2.55003468047  2.45003332045
4.1MB  2.5500029325  2.4500028175
4.2MB  2.55000599251  2.45000575751
4.3MB  2.5500677043  2.45006504923
4.4MB  2.55000688502  2.45000661502
4.5MB  2.55010021894  2.45009628878
4.6MB  2.55001708511  2.45001641511
4.7MB  2.55001045504  2.45001004504
4.8MB  2.5500156826  2.45001506759
4.9MB  2.55002448024  2.40002304022
5.0MB  2.50003800058  2.35003572054
5.1MB  2.45001702762  2.35001633261
5.2MB  2.40002064018  2.30001978017
5.3MB  2.35000434751  2.25000416251
5.4MB  2.30003496053  2.20003344051
5.5MB  2.25000360001  2.15000344001
5.6MB  2.25001440009  2.15001376009
5.7MB  2.35003290046  1.90002660037
5.8MB  2.3500265553  1.85002090524
5.9MB  2.30003921567  1.80003069052
6.0MB  2.25002700032  1.80002160026
6.1MB  2.25000900004  1.70000680003
6.2MB  2.20004048074  1.65003036056
6.3MB  2.20000594002  1.55000418501
6.4MB  2.20004708101  1.50003210069
6.5MB  2.15004773106  1.45003219071
6.6MB  2.15002827287  1.35001775273
6.7MB  2.10005880165  1.35003780106
6.8MB  2.10001344009  1.25000800005
6.9MB  2.05009327924  1.25005687759
7.0MB  1.90009623987  1.25006331571
7.1MB  1.90003401061  1.20002148038
7.2MB  1.95000331501  1.10000187
7.3MB  1.85003700074  1.10002200044
7.4MB  1.80004320104  1.0500252006
7.5MB  1.80000864004  1.00000480002
7.6MB  1.70000612002  0.950003420012
7.7MB  1.65003762086  1.00002280052
7.8MB  1.65000429001  0.850002210006
7.9MB  1.50006660296  0.950042181873
8.0MB  1.30006396315  1.05005166254
8.1MB  1.300000325  0.9500002375
8.2MB  1.30000786505  0.850005142531
8.3MB  1.15002771567  1.00002410058
8.4MB  1.25000368751  0.750002212507
8.5MB  1.20002634058  0.700015365337
8.6MB  1.20002652059  0.700015470342
8.7MB  1.10003965643  0.650023433345
8.8MB  1.10005577283  0.600030421542
8.9MB  1.10005500275  0.50002500125
9.0MB  1.05002625066  0.500012500313
9.1MB  0.950041611823  0.500021900959
9.2MB  0.950062419101  0.450029566943
9.3MB  0.900044642214  0.450022321107
9.4MB  0.800043602376  0.450024526337
9.5MB  0.800024640759  0.450013860427
9.6MB  0.700043542708  0.400024881548
9.7MB  0.600011430218  0.450008572663
9.8MB  0.553980544103  0.453256808811
9.9MB  0.550061799443  0.350039326918
10.0MB  0.427056233057  0.373674203924
