# Feature: throughput
# Experiment_time: 20.0
# rate  Reno1  Reno2
0.1MB  2.6000228802  2.5500224402
0.2MB  2.55000612001  2.55000612001
0.3MB  2.55002856032  2.55002856032
0.4MB  2.55006528167  2.55006528167
0.5MB  2.55003264042  2.55003264042
0.6MB  2.5500026775  2.5500026775
0.7MB  2.55000548251  2.55000548251
0.8MB  2.55006528167  2.55006528167
0.9MB  2.55002652028  2.55002652028
1.0MB  2.55001836013  2.55001836013
1.1MB  2.5500021675  2.5500021675
1.2MB  2.55000675752  2.55000675752
1.3MB  2.55007344212  2.55007344212
1.4MB  2.55001428008  2.55001428008
1.5MB  2.55001836013  2.55001836013
1.6MB  2.55000918003  2.55000918003
1.7MB  2.55000892503  2.55000892503
1.8MB  2.55002295021  2.55002295021
1.9MB  2.55004449828  2.55004449828
2.0MB  2.55002040016  2.55002040016
2.1MB  2.55001338757  2.55001338757
2.2MB  2.55006566419  2.55006566419
2.3MB  2.55001848763  2.55001848763
2.4MB  2.55000471751  2.55000471751
2.5MB  2.55000204  2.55000204
2.6MB  2.550003315  2.550003315
2.7MB  2.5500026775  2.5500026775
2.8MB  2.55000701252  2.55000701252
2.9MB  2.55002945284  2.55002945284
3.0MB  2.55002040016  2.55002040016
3.1MB  2.5500160651  2.5500160651
3.2MB  2.55004029064  2.55004029064
3.3MB  2.55002945284  2.55002945284
3.4MB  2.55001695761  2.55001695761
3.5MB  2.55000790502  2.55000790502
3.6MB  2.55000255  2.55000255
3.7MB  2.55000599251  2.55000599251
3.8MB  2.55000777752  2.55000777752
3.9MB  2.55009473602  2.55009473602
4.0MB  2.55007752236  2.55007752236
4.1MB  2.5500029325  2.5500029325
4.2MB  2.55002027266  2.55002027266
4.3MB  2.55004207569  2.55004207569
4.4MB  2.55001759512  2.55001759512
4.5MB  2.5500014025  2.5500014025
4.6MB  2.55001096505  2.55001096505
4.7MB  2.55001453508  2.55001453508
4.8MB  2.55005916137  2.55005916137
4.9MB  2.50001200006  2.50001200006
5.0MB  2.45002940035  2.45002940035
5.1MB  2.40001284007  2.40001284007
5.2MB  2.35001457009  2.35001457009
5.3MB  2.30006129663  2.30006129663
5.4MB  2.30000184  2.30000184
5.5MB  2.25002340024  2.25002340024
5.6MB  2.20005808153  2.20005808153
5.7MB  2.15000086  2.15000086
5.8MB  2.10000357001  2.10000357001
5.9MB  2.05003167299  2.05003167299
6.0MB  2.00005440148  2.00005440148
6.1MB  2.00000320001  2.00000320001
6.2MB  1.95000936004  1.95000936004
6.3MB  1.90008417373  1.90008417373
6.4MB  1.85000851004  1.85000851004
6.5MB  1.80005580173  1.80005580173
6.6MB  1.80005103145  1.80005103145
6.7MB  1.75006860269  1.75006860269
6.8MB  1.6000179202  1.80002016023
6.9MB  1.70001751018  1.70001751018
7.0MB  1.70001538514  1.70001538514
7.1MB  1.70004539121  1.70004539121
7.2MB  1.15000511752  1.90000845504
7.3MB  1.70001980523  1.70001980523
7.4MB  1.05002268049  1.85003996086
7.5MB  1.80003312061  1.05001932036
7.6MB  1.85003626071  0.900017640346
7.7MB  1.60000128  1.05000084
7.8MB  1.30002821061  1.30002821061
7.9MB  0.900004680024  1.60000832004
8.0MB  0.800038401843  1.60007680369
8.1MB  0.801420638294  1.5026636968
8.2MB  1.05004446938  1.15004870456
8.3MB  1.10005109737  1.00004645216
8.4MB  1.05008400672  0.95007600608
8.5MB  1.0000011  0.900000990001
8.6MB  0.85003867676  1.00004550207
8.7MB  0.900000045  0.900000045
8.8MB  0.850018232891  0.900019305414
8.9MB  0.850057166344  0.800053803618
9.0MB  0.750032326393  0.800034481486
9.1MB  0.750007650078  0.750007650078
9.2MB  0.700225822828  0.700225822828
9.3MB  0.650017160453  0.650017160453
9.4MB  0.600017820529  0.600017820529
9.5MB  0.650087631813  0.600080890904
9.6MB  0.550037732588  0.600041162824
9.7MB  0.600290931  0.55026668675
9.8MB  0.500017475611  0.550019223172
9.9MB  0.450060645672  0.550074122488
10.0MB  0.443008366023  0.443008366023
