# Feature: throughput
# Experiment_time: 20.0
# rate  Vegas1  Vegas2
0.1MB  2.45000980004  2.45000980004
0.2MB  2.45000196  2.45000196
0.3MB  2.45000980004  2.45000980004
0.4MB  2.45000196  2.45000196
0.5MB  2.45001960016  2.45001960016
0.6MB  2.45000196  2.45000196
0.7MB  2.450002205  2.450002205
0.8MB  2.45000196  2.45000196
0.9MB  2.45004924599  2.45004924599
1.0MB  2.4500156801  2.4500156801
1.1MB  2.45002045767  2.45002045767
1.2MB  2.45000196  2.45000196
1.3MB  2.4500156801  2.4500156801
1.4MB  2.45005598378  2.45005598378
1.5MB  2.45001310757  2.45001310757
1.6MB  2.45000098  2.45000098
1.7MB  2.45001494509  2.45001494509
1.8MB  2.45002156019  2.45002156019
1.9MB  2.45002315272  2.45002315272
2.0MB  2.45002548026  2.45002548026
2.1MB  2.45002033517  2.45002033517
2.2MB  2.4500153126  2.4500153126
2.3MB  2.45002560277  2.45002560277
2.4MB  2.45000453251  2.45000453251
2.5MB  2.4500156801  2.4500156801
2.6MB  2.45005598378  2.45005598378
2.7MB  2.45006798939  2.45006798939
2.8MB  2.45000918753  2.45000918753
2.9MB  2.45002376523  2.45002376523
3.0MB  2.45001310757  2.45001310757
3.1MB  2.4500015925  2.4500015925
3.2MB  2.45000049  2.45000049
3.3MB  2.45000759502  2.45000759502
3.4MB  2.45006235409  2.45006235409
3.5MB  2.45002829783  2.45002829783
3.6MB  2.45000649252  2.45000649252
3.7MB  2.45002927785  2.45002927785
3.8MB  2.45003993565  2.45003993565
3.9MB  2.45002842033  2.45002842033
4.0MB  2.45007056203  2.45007056203
4.1MB  2.45007092955  2.45007092955
4.2MB  2.45002560277  2.45002560277
4.3MB  2.45003417798  2.45003417798
4.4MB  2.45006847941  2.45006847941
4.5MB  2.45001065755  2.45001065755
4.6MB  2.45002560277  2.45002560277
4.7MB  2.45000967754  2.45000967754
4.8MB  2.45000098  2.45000098
4.9MB  2.45002266271  2.45002266271
5.0MB  2.40001152006  2.40001152006
5.1MB  2.35001880015  2.35001880015
5.2MB  2.35001128005  2.35001128005
5.3MB  2.30002323023  2.30002323023
5.4MB  2.25000337501  2.25000337501
5.5MB  2.20002398026  2.20002398026
5.6MB  2.15003612061  2.15003612061
5.7MB  2.10005365637  2.10005365637
5.8MB  2.1000382207  2.1000382207
5.9MB  2.10009408421  2.00008960401
6.0MB  1.95000936004  2.05000984005
6.1MB  1.95002691037  1.95002691037
6.2MB  1.900001235  1.900001235
6.3MB  1.85001637264  1.85001637264
6.4MB  1.85006512229  1.80006336223
6.5MB  1.80000522002  1.80000522002
6.6MB  1.75000840004  1.75000840004
6.7MB  1.70001360011  1.70001360011
6.8MB  1.65000957006  1.65000957006
6.9MB  1.60006120234  1.60006120234
7.0MB  1.550001395  1.550001395
7.1MB  1.55007711634  1.55007711634
7.2MB  1.50005280186  1.50005280186
7.3MB  1.45003197321  1.45003197321
7.4MB  1.45000696003  1.35000648003
7.5MB  1.25001200012  1.45001392013
7.6MB  1.35001201511  1.35001201511
7.7MB  1.350000675  1.250000625
7.8MB  1.25002800063  1.25002800063
7.9MB  1.20001254013  1.20001254013
8.0MB  1.20004800192  1.15004600184
8.1MB  1.10004900718  1.15005123478
8.2MB  1.10000528003  1.10000528003
8.3MB  0.550016720508  1.50004560139
8.4MB  1.20001368016  0.750008550097
8.5MB  0.700001645004  1.25000293751
8.6MB  1.20000426002  0.650002307508
8.7MB  1.1500587105  0.550028078933
8.8MB  0.950036481401  0.900034561327
8.9MB  1.05004788218  0.50002280104
9.0MB  1.00000960009  0.500004800046
9.1MB  0.95001192265  0.450005647571
9.2MB  0.450026214027  0.950055340724
9.3MB  0.600014310341  0.95002265804
9.4MB  0.500014675431  0.900026415775
9.5MB  0.600068857901  0.800091810535
9.6MB  0.5000100002  0.7500150003
9.7MB  0.550036412411  0.700046343068
9.8MB  0.500074811192  0.450067330073
9.9MB  0.500017375604  0.450015638043
10.0MB  0.380013903442  0.380013903442
