# Feature: latency
# Experiment_time: 30.0
# rate  DropTail  RED
# time  Reno-DropTail  SACK-DropTail  Reno-RED  SACK-RED
0s  0  0  0  0
2s  0.0628126315789  0.0628126315789  0.0628126315789  0.0628126315789
4s  0.0640034223919  0.0636058957529  0.0668578571429  0.0640792383178
6s  0.0658664043716  0.0663967010309  0.0654180127273  0.0653172210339
8s  0.0665594492255  0.0665594492255  0.065976967632  0.0659437542662
10s  0.0665608261618  0.0665580722892  0.067603652459  0.0669330852535
12s  0.0665622030981  0.0665580722892  0.0653406998124  0.0652351804788
14s  0.0665622030981  0.0665594492255  0.0659183645656  0.0659197274276
16s  0.0665622030981  0.0665608261618  0.067174340625  0.0661454369159
18s  0.0665608261618  0.0665622030981  0.0651624108527  0.065569481149
20s  0.0665594492255  0.0665622030981  0.0660158347676  0.0666005555556
22s  0.0665580722892  0.0665622030981  0.0663534150943  0.065452866055
24s  0.0665572413793  0.0665608261618  0.0659601365188  0.0658576870748
26s  0.0665580722892  0.0665594492255  0.0657931409168  0.0659881732673
28s  0.0665594492255  0.0665580722892  0.067151706422  0.0657326857639
